"Shape_Leng","Shape_Area","Island","WUI_Riskar","avg_weeks_any_drought","avg_weeks_sev_drought"
0.130783892241,0.000653064544228,"Kauai","Kekaha",10,0.646153846153846
0.123977324733,0.000748207600915,"Kauai","Waimea",11.184,0.7
0.0602081528923,0.000171244456878,"Kauai","Pakala",1.91,0.12
0.117363156006,0.000564630189878,"Kauai","Hanapepe",15.295,0.806666666666667
0.0988422615164,0.000441830045446,"Kauai","Eleele",13.46,0.793333333333333
0.0618533087382,0.000288867852771,"Kauai","Numila",10.9236363636364,0.694545454545454
0.162158928405,0.00153744170659,"Kauai","Kalaheo",11.9724590163934,0.109508196721311
0.148419415148,0.000766571105316,"Kauai","Lawai",11.4875,0.06125
0.106786966403,0.000547695471896,"Kauai","Omao",11.3828571428571,0.154285714285714
0.126561402347,0.000400597387821,"Kauai","Poipu",7.96705882352941,0.44
0.168423689558,0.00110157148413,"Kauai","Koloa",11.9339534883721,0.56
0.0583440518494,0.000251420381683,"Kauai","Kahili Wai",7.796,0
0.0665063620676,0.000196074548534,"Kauai","Niumalu",9.07,0.32
0.10611662199,0.000676507504912,"Kauai","Puhi",8.86285714285714,0.32
0.192331326804,0.00117245870815,"Kauai","Lihue",8.4868085106383,0.32
0.155618526029,0.000725709527509,"Kauai","Hanamaulu",7.63586206896552,0.32
0.239637549342,0.00192592731455,"Kauai","Wailua Homestead",5.23315789473684,0
0.126458849027,0.000727051071257,"Kauai","Wailua House Lots",6.88645161290323,0
0.0926730979804,0.000372038562675,"Kauai","Waipouli",7.33142857142857,0
0.0834298183703,0.000336513133276,"Kauai","Kealia",7.38769230769231,0
0.226012729839,0.0021582726991,"Kauai","Kapaa",6.41302325581395,0
0.0872407837207,0.000450976885345,"Kauai","Anahola",6.33882352941177,0
0.175807683806,0.00109228218993,"Kauai","Papaa",5.25809523809524,0
0.151040432139,0.0010169735958,"Kauai","Moloaa",4.09238095238095,0
0.252822585122,0.00167379185782,"Kauai","Kilauea",3.560625,0
0.23869141592,0.00133984105049,"Kauai","Kalihiwai",2.96962962962963,0
0.205490257813,0.00110968774411,"Kauai","Princeville",2.44622222222222,0
0.207824481451,0.000706689803881,"Kauai","Hanalei",2.47571428571429,0
0.103752506913,0.000537415125135,"Kauai","Lumahai",1.86181818181818,0
