"Shape_Leng","Shape_Area","Island","WUI_Riskar","mean_ann_rainfall_mm"
0.130783892241,0.000653064544228,"Kauai","Kekaha",505.277628580729
0.123977324733,0.000748207600915,"Kauai","Waimea",528.508488485258
0.0602081528923,0.000171244456878,"Kauai","Pakala",521.327880859375
0.117363156006,0.000564630189878,"Kauai","Hanapepe",631.226921811311
0.0988422615164,0.000441830045446,"Kauai","Eleele",687.444489577721
0.0618533087382,0.000288867852771,"Kauai","Numila",807.081142030913
0.162158928405,0.00153744170659,"Kauai","Kalaheo",1393.56480201243
0.148419415148,0.000766571105316,"Kauai","Lawai",1685.03776679943
0.106786966403,0.000547695471896,"Kauai","Omao",1739.85342959449
0.126561402347,0.000400597387821,"Kauai","Poipu",870.613138834635
0.168423689558,0.00110157148413,"Kauai","Koloa",1183.55405183432
0.0583440518494,0.000251420381683,"Kauai","Kahili Wai",2456.58623146524
0.0665063620676,0.000196074548534,"Kauai","Niumalu",1065.18583315895
0.10611662199,0.000676507504912,"Kauai","Puhi",1245.91424468069
0.192331326804,0.00117245870815,"Kauai","Lihue",1009.99978903066
0.155618526029,0.000725709527509,"Kauai","Hanamaulu",985.807860901306
0.239637549342,0.00192592731455,"Kauai","Wailua Homestead",1667.99937103029
0.126458849027,0.000727051071257,"Kauai","Wailua House Lots",1187.55681194437
0.0926730979804,0.000372038562675,"Kauai","Waipouli",1004.02211832682
0.0834298183703,0.000336513133276,"Kauai","Kealia",955.954091541803
0.226012729839,0.0021582726991,"Kauai","Kapaa",1447.3235519806
0.0872407837207,0.000450976885345,"Kauai","Anahola",983.139944118924
0.175807683806,0.00109228218993,"Kauai","Papaa",1028.81279392506
0.151040432139,0.0010169735958,"Kauai","Moloaa",1293.66843425694
0.252822585122,0.00167379185782,"Kauai","Kilauea",1702.96489627723
0.23869141592,0.00133984105049,"Kauai","Kalihiwai",1845.49512547907
0.205490257813,0.00110968774411,"Kauai","Princeville",1915.69224330357
0.207824481451,0.000706689803881,"Kauai","Hanalei",2180.36203683538
0.103752506913,0.000537415125135,"Kauai","Lumahai",2289.42586795415
0.097718618963,0.000248399798577,"Kauai","Wainaha-Haena",2197.68810780843
0.0378190355572,8.10048146747e-05,"Oahu","Makua Keeau",488.025063069661
0.166695932574,0.00111082691212,"Oahu","Makaha",560.831263130958
0.158953978976,0.00107215302252,"Oahu","Waiane",487.248094603914
0.204895912032,0.00143306492745,"Oahu","Maili",465.170333916223
0.205018322829,0.00151337072999,"Oahu","Nanakuli",530.532145080566
0.11451053499,0.000681965263624,"Oahu","Honokai/Koolina",442.235575810185
0.148562817256,0.00139881774094,"Oahu","Makakilo",554.285023493027
0.210737935776,0.00155481055208,"Oahu","Kapolei",425.603274240801
0.227797561715,0.00213117889434,"Oahu","Ewa",470.515878996781
0.242256141788,0.00230489046655,"Oahu","Waikele",536.748348814068
0.294585000785,0.00404572398476,"Oahu","Mililani",997.031987075806
0.229456904793,0.00225032661529,"Oahu","Wahiwa",1223.53652056526
0.353106754933,0.0040265224029,"Oahu","Pearl City/Halawa",1028.26120236955
